label,notation
ARGO IRELAND,argoIreland
ARGO ITALY,argoItaly
ARGO JMA,argoJMA
ARGO JAMSTEC,argoJamstec
ARGO KENYA,argoKenya
ARGO KIOST,argoKiost
ARGO LEBANON,argoLebanon
ARGO NIMR/KMA,argoMIMRKMA
ARGO MAURITIUS,argoMauritius
ARGO MEX-CO-US,argoMexCoUS
ARGO MEXICO,argoMexico
ARGO NETHERLANDS,argoNetherlands
ARGO NEW ZEALAND,argoNewZealand
ARGO NORWAY,argoNorway
ARGO PMEL,argoPMEL
ARGO POLAND,argoPoland
ARGO RUSSIA,argoRussia
ARGO SIO,argoSIO
ARGO SIO EQ (ASIRI),argoSIOEqASIRI
ARGO SIO EQ. (OKMC),argoSIOEqOKMC
Argo SIO eq. (SBE61NOPP),argoSIOEqSBE61NOPP
ARGO SAUDI ARABIA,argoSaudiArabia
ARGO SOUTH AFRICA,argoSouthAfrica
ARGO SPAIN,argoSpain
ARGO SRI LANKA,argoSriLanka
ARGO TWR ENGINEERING,argoTWREng
ARGO UK,argoUK
ARGO UK BIO,argoUKBIO
ARGO UK EQ.,argoUKEq
ARGO UW,argoUW
ARGO UW-APL EQ.,argoUWAplEq
ARGO UW EQ.,argoUWEq
ARGO UW-MBARI EQ.,argoUWMbariEq
ARGO UW-SOCCOM EQ.,argoUWSoccomEq
ARGO UW-SPURS EQ.,argoUWSpursEq
ARGO UW-UA EQ.,argoUWUAEq
ARGO WHOI,argoWHOI
ARGO WHOI EQ. IR,argoWHOIEqIR
ARGO WHOI-MRV EQ.,argoWHOIMRVEq
BioArgo UMaine,bioargoUMaine
BRAZIL PNBOIA-INPE,brazilPNBOIAINPE
Ceilometers,ceilometers
Centennial Observing Stations,centennialObservingstations
COLOMBIA-TSU,colombiaTSU
COPERNICUS-HRSST-FRM,copernicusHRSSTFRM
CORIOLIS,coriolis
CORIOLIS-BIOARGO,coriolisBioargo
CORIOLIS-CANOA,coriolisCanoa
CORIOLIS-CONGAS,coriolisCongas
CORIOLIS-DRAKE,coriolisDrake
CORIOLIS-EGEE,coriolisEGEE
CORIOLIS-EGYPT,coriolisEqypt
CORIOLIS-FNOB-JCOMMOPS,coriolisFNOBJCOMMOPS
CORIOLIS-FLOPS,coriolisFlops
CORIOLIS-FLOSTRAL,coriolisFlostral
CORIOLIS-FRONTALIS,coriolisFrontalis
CORIOLIS-GOOD HOPE,coriolisGoodHope
CORIOLIS-OVIDE,coriolisOvide
CORIOLIS-PIRATA,coriolisPirata
